"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.65481135979455e-12,20,172,11.9308582751069,"GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules "," http://amigo.geneontology.org/amigo/term/GO:0007156"," CDH13  SDK1  PCDHGA2  PCDHGA1  PCDHGB6  PCDHGA5  PCDHGA7  PCDHGA6  PCDHGA8  PCDHGA10  PCDHGA11  PCDHGB2  PCDHGB4  PCDHGB7  PCDHGB1  PCDHGA3  PCDHGA9  PCDHGB3  PCDHGA4  PCDHGB5"
2.6320422285852e-10,22,293,7.7041583127994,"GO:0098742 cell-cell adhesion via plasma-membrane adhesion molecules "," http://amigo.geneontology.org/amigo/term/GO:0098742"," CDH13  SDK1  NLGN1  PCDHGA2  CBLN1  PCDHGA1  PCDHGB6  PCDHGA5  PCDHGA7  PCDHGA6  PCDHGA8  PCDHGA10  PCDHGA11  PCDHGB2  PCDHGB4  PCDHGB7  PCDHGB1  PCDHGA3  PCDHGA9  PCDHGB3  PCDHGA4  PCDHGB5"
0.004316750622579,38,1777,2.19414996303035,"GO:0007267 cell-cell signaling "," http://amigo.geneontology.org/amigo/term/GO:0007267"," RIMBP2  LZTS1  ERC1  WNT5B  DGKI  AMER2  NLGN1  DLGAP1  SHISA2  HTR3E  HRH1  TRABD2B  HCN2  AXIN1  PPP1CA  EIPR1  OPRK1  CPZ  TCIRG1  WNK4  PRKCG  CLOCK  FARP1  THY1  GRIA1  PRKCE  SORCS2  ADARB1  RASL10B  CBLN1  RAB1A  JRK  PDLIM4  VAMP2  PKP4  KCNC4  NR4A2  KCNQ3"
0.0137842625680561,26,1061,2.51436372319878,"GO:0010243 response to organonitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:0010243"," STAT1  SLC2A1  RPTOR  NR4A2  HCN2  CDH13  PID1  HTR3E  OPRK1  MMP9  DNAI1  PRKCG  DDC  COL6A1  SDK1  MGMT  PRKCE  UMODL1  NCOR2  HRH1  SH3BP4  BCAR3  RYR1  GNAI1  PTPRE  VAMP2"
0.0158105561148135,26,1104,2.41643107818288,"GO:0098609 cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0098609"," CDH13  PKP4  SDK1  THY1  NLGN1  PCDHGA2  CBLN1  PPP1CA  PCDHGA1  PCDHGB6  PCDHGA5  PCDHGA7  PCDHGA6  PCDHGA8  PCDHGA10  PCDHGA11  PCDHGB2  PCDHGB4  PCDHGB7  PCDHGB1  PCDHGA3  PCDHGA9  PCDHGB3  PCDHGA4  PCDHGB5  RUNX3"
0.0158105561148135,27,1172,2.36377584597254,"GO:1901698 response to nitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:1901698"," STAT1  SLC2A1  RPTOR  NR4A2  HCN2  CDH13  PID1  HTR3E  OPRK1  MMP9  DNAI1  PRKCG  DDC  COL6A1  SDK1  GRIA1  MGMT  PRKCE  UMODL1  NCOR2  HRH1  SH3BP4  BCAR3  RYR1  GNAI1  PTPRE  VAMP2"
0.0158105561148135,4,18,22.8011958146487,"GO:1902001 fatty acid transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:1902001"," THBS1  ACSL1  SLC2A1  CPT1B"
0.029550485069989,34,1729,2.01768823576707,"GO:0007155 cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007155"," PCDHGA2  COL5A1  CDH13  PKP4  SDK1  THY1  NLGN1  PCDHGA1  PCDHGB6  PCDHGA5  PCDHGA7  PCDHGA6  PCDHGA8  PCDHGA10  PCDHGA11  PCDHGB2  PCDHGB4  PCDHGB7  PCDHGB1  PCDHGA3  PCDHGA9  PCDHGB3  PCDHGA4  PCDHGB5  THBS1  CBLN1  BCAN  RAB1A  COL6A1  ACKR3  PRKCE  PPP1CA  OPCML  RUNX3"
0.029550485069989,17,596,2.92666355674602,"GO:0034762 regulation of transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0034762"," WNK4  DPP6  PID1  THY1  KCNJ4  HCN2  MMP9  THBS1  NLGN1  OPRK1  TCIRG1  KCNC4  ACSL1  PRKCE  KCNQ3  CLTCL1  VAMP2"
0.029550485069989,20,773,2.65473172486208,"GO:0099537 trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099537"," RIMBP2  LZTS1  ERC1  DGKI  NLGN1  DLGAP1  HTR3E  HRH1  PRKCG  FARP1  GRIA1  PRKCE  SORCS2  ADARB1  CBLN1  PDLIM4  VAMP2  OPRK1  KCNC4  KCNQ3"
0.0332069993724264,4,27,15.2007972097658,"GO:0007274 neuromuscular synaptic transmission "," http://amigo.geneontology.org/amigo/term/GO:0007274"," RIMBP2  ERC1  NLGN1  ADARB1"
