"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0441919727372456,7,132,5.44119445576845,"Path:hsa04728 Dopaminergic synapse","http://www.genome.jp/kegg-bin/show_pathway?hsa04728 "," DDC  GNAI1  GRIA1  PPP1CA  PPP2R2C  PRKCG  CLOCK"
0.0441919727372456,6,98,6.28196211219914,"Path:hsa04750 Inflammatory mediator regulation of TRP channels","http://www.genome.jp/kegg-bin/show_pathway?hsa04750 "," HRH1  IL1R1  PPP1CA  PRKCE  PRKCG  PRKCH"
0.104878730166007,4,50,8.20843049327354,"Path:hsa00510 N-Glycan biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?hsa00510 "," MGAT5B  STT3A  MGAT1  ST6GAL2"
0.13948120482243,6,157,3.92122475793322,"Path:hsa04390 Hippo signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04390 "," PARD6A  PPP1CA  PPP2R2C  FRMD1  WNT5B  AXIN1"
0.13948120482243,4,60,6.84035874439462,"Path:hsa04730 Long-term depression","http://www.genome.jp/kegg-bin/show_pathway?hsa04730 "," GNAI1  GRIA1  PRKCG  RYR1"
0.13948120482243,4,69,5.94813803860402,"Path:hsa05031 Amphetamine addiction","http://www.genome.jp/kegg-bin/show_pathway?hsa05031 "," DDC  GRIA1  PPP1CA  PRKCG"
0.13948120482243,7,202,3.55563202060116,"Path:hsa05205 Proteoglycans in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05205 "," FLNC  MMP9  PPP1CA  PRKCG  PTCH1  THBS1  WNT5B"
0.13948120482243,6,161,3.82380302481687,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," MMP9  PRKCE  PRKCG  RPTOR  THBS1  HDAC4"
0.148137896315221,5,119,4.31115046915627,"Path:hsa04071 Sphingolipid signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04071 "," CERS6  GNAI1  PPP2R2C  PRKCE  PRKCG"
0.148137896315221,5,121,4.23989178371567,"Path:hsa04152 AMPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04152 "," CPT1B  LIPE  PFKP  PPP2R2C  RPTOR"
0.158331159848047,7,232,3.09585201793722,"Path:hsa04714 Thermogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa04714 "," COX15  CPT1B  ACSL1  LIPE  KDM3B  RPTOR  PRDM16"
