chr	start	end	direction
chr1	2319117	2319117	Hyper
chr1	3182669	3182669	Hypo
chr1	8314126	8314126	Hyper
chr1	8355175	8355175	Hyper
chr1	11501656	11501656	Hyper
chr1	16724760	16724760	Hyper
chr1	18784416	18784416	Hypo
chr1	18784422	18784422	Hypo
chr1	18784425	18784425	Hypo
chr1	18784430	18784430	Hypo
chr1	18784434	18784434	Hypo
chr1	18784437	18784437	Hypo
chr1	18784455	18784455	Hypo
chr1	18784484	18784484	Hypo
chr1	18784540	18784540	Hypo
chr1	24911704	24911704	Hyper
chr1	24911713	24911713	Hyper
chr1	26290043	26290043	Hypo
chr1	33180370	33180370	Hypo
chr1	42936920	42936920	Hyper
chr1	47766506	47766506	Hyper
chr1	54356702	54356702	Hypo
chr1	54651327	54651327	Hyper
chr1	77349833	77349833	Hypo
chr1	93636457	93636457	Hyper
chr1	95352487	95352487	Hyper
chr1	110209570	110209570	Hypo
chr1	110209635	110209635	Hypo
chr1	110209658	110209658	Hypo
chr1	110209673	110209673	Hypo
chr1	110209708	110209708	Hypo
chr1	110209723	110209723	Hypo
chr1	110209725	110209725	Hypo
chr1	110209752	110209752	Hypo
chr1	111386766	111386766	Hypo
chr1	119713084	119713084	Hypo
chr1	119713129	119713129	Hypo
chr1	119713142	119713142	Hypo
chr1	119713250	119713250	Hypo
chr1	119713318	119713318	Hypo
chr1	119713338	119713338	Hypo
chr1	119713369	119713369	Hypo
chr1	119713529	119713529	Hypo
chr1	156659234	156659234	Hyper
chr1	182061557	182061557	Hyper
chr1	183329014	183329014	Hypo
chr1	245166662	245166662	Hypo
chr1	245680824	245680824	Hyper
chr1	246789555	246789555	Hypo
chr10	697452	697452	Hyper
chr10	2105023	2105023	Hypo
chr10	3116656	3116656	Hypo
chr10	5646602	5646602	Hypo
chr10	23203937	23203937	Hyper
chr10	36449660	36449660	Hyper
chr10	36449666	36449666	Hyper
chr10	48655841	48655841	Hypo
chr10	52778842	52778842	Hypo
