chr	start	end
chr1	2319117	2319117
chr1	3182669	3182669
chr1	8314126	8314126
chr1	8355175	8355175
chr1	11501656	11501656
chr1	16724760	16724760
chr1	18784416	18784416
chr1	18784422	18784422
chr1	18784425	18784425
chr1	18784430	18784430
chr1	18784434	18784434
chr1	18784437	18784437
chr1	18784455	18784455
chr1	18784484	18784484
chr1	18784540	18784540
chr1	24911704	24911704
chr1	24911713	24911713
chr1	26290043	26290043
chr1	33180370	33180370
chr1	42936920	42936920
chr1	47766506	47766506
chr1	54356702	54356702
chr1	54651327	54651327
chr1	77349833	77349833
chr1	93636457	93636457
chr1	95352487	95352487
chr1	110209570	110209570
chr1	110209635	110209635
chr1	110209658	110209658
chr1	110209673	110209673
chr1	110209708	110209708
chr1	110209723	110209723
chr1	110209725	110209725
chr1	110209752	110209752
chr1	111386766	111386766
chr1	119713084	119713084
chr1	119713129	119713129
chr1	119713142	119713142
chr1	119713250	119713250
chr1	119713318	119713318
chr1	119713338	119713338
chr1	119713369	119713369
chr1	119713529	119713529
chr1	156659234	156659234
chr1	182061557	182061557
chr1	183329014	183329014
chr1	245166662	245166662
chr1	245680824	245680824
chr1	246789555	246789555
chr10	697452	697452
chr10	2105023	2105023
chr10	3116656	3116656
chr10	5646602	5646602
chr10	23203937	23203937
chr10	36449660	36449660
chr10	36449666	36449666
chr10	48655841	48655841
chr10	52778842	52778842
chr10	52778855	52778855
chr10	69484594	69484594
chr10	71819460	71819460
chr10	71819648	71819648
chr10	77710550	77710550
chr10	99658726	99658726
chr10	104335296	104335296
chr10	119028861	119028861
chr10	122258371	122258371
chr10	128062100	128062100
chr10	129510991	129510991
chr10	129511483	129511483
chr10	133024302	133024302
chr11	362564	362564
chr11	1639290	1639290
chr11	1784724	1784724
chr11	8242487	8242487
chr11	15941621	15941621
chr11	15941632	15941632
chr11	15941650	15941650
chr11	18171995	18171995
chr11	45651196	45651196
chr11	45652620	45652620
chr11	45927384	45927384
chr11	65791281	65791281
chr11	65791525	65791525
chr11	67407390	67407390
chr11	68037913	68037913
chr11	71476578	71476578
chr11	71477216	71477216
chr11	72822715	72822715
chr11	77128083	77128083
chr11	88338694	88338694
chr11	94401840	94401840
chr11	94401850	94401850
chr11	102808169	102808169
chr11	116414556	116414556
chr11	119423567	119423567
chr11	122618765	122618765
chr11	125609467	125609467
chr11	133077337	133077337
chr12	1350578	1350578
chr12	1629126	1629126
chr12	1922339	1922339
chr12	12926708	12926708
chr12	27245313	27245313
chr12	31893384	31893384
chr12	32108404	32108404
chr12	106022437	106022437
chr12	107775813	107775813
chr12	114734793	114734793
chr12	116511123	116511123
chr12	120642282	120642282
chr12	124217764	124217764
chr12	124391963	124391963
chr12	130473821	130473821
chr12	130634016	130634016
chr12	130634081	130634081
chr12	132386028	132386028
chr13	25170416	25170416
chr13	26046638	26046638
chr13	36918993	36918993
chr13	50389415	50389415
chr13	78659432	78659432
chr13	78660116	78660116
chr13	78660183	78660183
chr13	98449135	98449135
chr13	99972635	99972635
chr13	112076215	112076215
chr13	113333124	113333124
chr14	20617841	20617841
chr14	20617846	20617846
chr14	58716855	58716855
chr14	58716878	58716878
chr14	61406976	61406976
chr14	70223744	70223744
chr14	70223764	70223764
chr14	70555948	70555948
chr14	70556040	70556040
chr14	71110762	71110762
chr14	94062736	94062736
chr14	105862948	105862948
chr14	105863516	105863516
chr14	105863560	105863560
chr14	105863571	105863571
chr14	105863646	105863646
chr15	39587316	39587316
chr15	51077665	51077665
chr16	304287	304287
chr16	734765	734765
chr16	922587	922587
chr16	962568	962568
chr16	6375679	6375679
chr16	49278023	49278023
chr16	53373703	53373703
chr16	66429021	66429021
chr16	67661640	67661640
chr16	75252111	75252111
chr16	82329245	82329245
chr16	83246822	83246822
chr16	88200443	88200443
chr16	89822278	89822278
chr17	8163379	8163379
chr17	35741099	35741099
chr17	40719056	40719056
chr17	40938056	40938056
chr17	42023858	42023858
chr17	42781280	42781280
chr17	47852667	47852667
chr17	48604188	48604188
chr17	48604230	48604230
chr17	48604273	48604273
chr17	48631508	48631508
chr17	60082670	60082670
chr17	73785937	73785937
chr17	76917365	76917365
chr17	79152844	79152844
chr17	79152847	79152847
chr17	80751580	80751580
chr17	80751670	80751670
chr17	83065597	83065597
chr18	3771110	3771110
chr18	8662628	8662628
chr18	11909452	11909452
chr18	14748472	14748472
chr18	31760889	31760889
chr18	31760939	31760939
chr18	79548433	79548433
chr19	345491	345491
chr19	611246	611246
chr19	1039445	1039445
chr19	1265858	1265858
chr19	36053922	36053922
chr19	38500898	38500898
chr19	42424274	42424274
chr19	42424292	42424292
chr19	49684254	49684254
chr19	49684276	49684276
chr19	53884181	53884181
chr2	3321994	3321994
chr2	46150372	46150372
chr2	53537679	53537679
chr2	65083542	65083542
chr2	66495370	66495370
chr2	102177821	102177821
chr2	106073174	106073174
chr2	106853261	106853261
chr2	112646867	112646867
chr2	123061689	123061689
chr2	156327978	156327978
chr2	158487179	158487179
chr2	168455397	168455397
chr2	188293164	188293164
chr2	190994263	190994263
chr2	229271695	229271695
chr2	231661980	231661980
chr2	234994507	234994507
chr2	235263697	235263697
chr2	236570021	236570021
chr2	237265009	237265009
chr2	239160696	239160696
chr2	239162696	239162696
chr2	239283712	239283712
chr2	240886522	240886522
chr20	17698755	17698755
